"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV2483","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2487","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2488","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA
"ESV2489","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Gaeumannomyces","s__avenae"
"ESV2491","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ESV2492","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__pisciphila"
"ESV2493","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2494","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenales_fam_Incertae_sedis","g__Chrysosporium","s__pseudomerdarium"
"ESV2495","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Apodus","s__deciduus"
"ESV2496","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"ESV2498","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Udeniozyma",NA
"ESV2499","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ESV2500","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Phallaceae","g__Phallus","s__rugulosus"
"ESV2501","k__Fungi","p__Zoopagomycota",NA,NA,NA,NA,NA
"ESV2502","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__paspali"
"ESV2503","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2507","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Westerdykella",NA
"ESV2509","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__persica"
"ESV2510","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ESV2511","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
