"fin.ESV.names" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"54" "ESV54" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"55" "ESV55" "Bacteria" "Proteobacteria" "Betaproteobacteria" "B1-7BS" NA NA
"56" "ESV56" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"57" "ESV57" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhodobiaceae" NA
"58" "ESV58" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"59" "ESV59" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA
"60" "ESV60" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter"
"61" "ESV61" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"62" "ESV62" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"63" "ESV63" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"64" "ESV64" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"65" "ESV65" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" "Steroidobacter"
"66" "ESV66" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"67" "ESV67" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" NA
"68" "ESV68" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium"
"69" "ESV69" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Nitrobacter"
"70" "ESV70" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" NA
"71" "ESV71" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"72" "ESV72" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"73" "ESV73" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" NA
"74" "ESV74" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" NA
"75" "ESV75" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"76" "ESV76" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"77" "ESV77" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"78" "ESV78" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"79" "ESV79" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA
"80" "ESV80" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"81" "ESV81" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Variibacter"
"82" "ESV82" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"83" "ESV83" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"84" "ESV84" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"85" "ESV85" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"86" "ESV86" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"87" "ESV87" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" "Microcoleus"
