"fin.ESV.names" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"5837" "ESV5837" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Iamiaceae" "Iamia"
"5838" "ESV5838" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"5839" "ESV5839" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"5840" "ESV5840" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" NA
"5841" "ESV5841" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" NA
"5842" "ESV5842" "Bacteria" "Acidobacteria" "Acidobacteria" "Acidobacteriales" "Acidobacteriaceae_(Subgroup_1)" NA
"5843" "ESV5843" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" NA NA
"5844" "ESV5844" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5845" "ESV5845" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"5846" "ESV5846" "Bacteria" "Chloroflexi" "Ktedonobacteria" "C0119" NA NA
"5847" "ESV5847" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfurellales" "Desulfurellaceae" "H16"
"5848" "ESV5848" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" NA
"5849" "ESV5849" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Frankiaceae" "Jatrophihabitans"
"5850" "ESV5850" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium"
"5851" "ESV5851" "Bacteria" "Acidobacteria" "Acidobacteria" "Acidobacteriales" "Acidobacteriaceae_(Subgroup_1)" NA
"5852" "ESV5852" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium"
"5853" "ESV5853" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"5854" "ESV5854" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA
"5855" "ESV5855" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" NA
"5856" "ESV5856" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" NA
"5857" "ESV5857" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" "Bacillus"
"5858" "ESV5858" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Nitrobacter"
"5859" "ESV5859" "Bacteria" "Chloroflexi" "TK10" NA NA NA
"5860" "ESV5860" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" "Leptolyngbya"
"5861" "ESV5861" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"5862" "ESV5862" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonas"
"5863" "ESV5863" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" NA
"5864" "ESV5864" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"5865" "ESV5865" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"5866" "ESV5866" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Phaselicystidaceae" "Phaselicystis"
"5867" "ESV5867" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"5868" "ESV5868" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Variibacter"
"5869" "ESV5869" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" NA
"5870" "ESV5870" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"5871" "ESV5871" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"5872" "ESV5872" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"5873" "ESV5873" "Bacteria" "Acidobacteria" "Acidobacteria" "Acidobacteriales" "Acidobacteriaceae_(Subgroup_1)" NA
"5874" "ESV5874" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus"
"5875" "ESV5875" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Flavisolibacter"
"5876" "ESV5876" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5877" "ESV5877" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter"
"5878" "ESV5878" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"5879" "ESV5879" "Bacteria" "Planctomycetes" "Phycisphaerae" "Tepidisphaerales" "Tepidisphaeraceae" NA
"5880" "ESV5880" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"5881" "ESV5881" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" NA
"5882" "ESV5882" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" NA NA
"5883" "ESV5883" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" "Acidibacter"
"5884" "ESV5884" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"5885" "ESV5885" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Terrimonas"
"5886" "ESV5886" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Lysobacter"
"5887" "ESV5887" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" "Terrimonas"
"5888" "ESV5888" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Caenimonas"
"5889" "ESV5889" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Chitinophagaceae" NA
"5890" "ESV5890" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus"
"5891" "ESV5891" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Alicyclobacillaceae" "Tumebacillus"
"5892" "ESV5892" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"5893" "ESV5893" "Bacteria" "Chloroflexi" "TK10" NA NA NA
"5894" "ESV5894" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"5895" "ESV5895" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter"
"5896" "ESV5896" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" "Acidibacter"
"5897" "ESV5897" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Gemmata"
"5898" "ESV5898" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Archangiaceae" NA
"5899" "ESV5899" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Kribbella"
"5900" "ESV5900" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5901" "ESV5901" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" NA
"5902" "ESV5902" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5903" "ESV5903" "Bacteria" "Acidobacteria" "Solibacteres" "Solibacterales" "Solibacteraceae_(Subgroup_3)" "Bryobacter"
"5904" "ESV5904" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"5905" "ESV5905" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Haliangiaceae" "Haliangium"
"5906" "ESV5906" "Bacteria" "Proteobacteria" "Betaproteobacteria" "B1-7BS" NA NA
"5907" "ESV5907" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"5908" "ESV5908" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Acidothermaceae" "Acidothermus"
"5909" "ESV5909" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Nitrosomonadaceae" NA
"5910" "ESV5910" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"5911" "ESV5911" "Bacteria" "Acidobacteria" "Acidobacteria" "Acidobacteriales" "Acidobacteriaceae_(Subgroup_1)" NA
"5912" "ESV5912" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" NA
"5913" "ESV5913" "Bacteria" "Acidobacteria" "Solibacteres" "Solibacterales" "Solibacteraceae_(Subgroup_3)" "Candidatus_Solibacter"
"5914" "ESV5914" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"5915" "ESV5915" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Saprospiraceae" NA
"5916" "ESV5916" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"5917" "ESV5917" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"5918" "ESV5918" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Adhaeribacter"
"5919" "ESV5919" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" "Chungangia"
"5920" "ESV5920" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"5921" "ESV5921" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatirosa"
"5922" "ESV5922" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhodobiaceae" NA
"5923" "ESV5923" "Bacteria" "Planctomycetes" "Phycisphaerae" "Tepidisphaerales" "Tepidisphaeraceae" NA
"5924" "ESV5924" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Piscinibacter"
"5925" "ESV5925" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"5926" "ESV5926" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5927" "ESV5927" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Dactylosporangium"
"5928" "ESV5928" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"5929" "ESV5929" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5930" "ESV5930" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia"
"5931" "ESV5931" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Nitrosomonadaceae" NA
"5932" "ESV5932" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"5933" "ESV5933" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" NA
"5934" "ESV5934" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Romboutsia"
"5935" "ESV5935" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" NA NA
"5936" "ESV5936" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Elev-16S-1332" NA
"5937" "ESV5937" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "DA111" NA
"5938" "ESV5938" "Bacteria" "Acidobacteria" "Solibacteres" "Solibacterales" "Solibacteraceae_(Subgroup_3)" "Candidatus_Solibacter"
"5939" "ESV5939" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5940" "ESV5940" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "0319-6A21" NA
"5941" "ESV5941" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"5942" "ESV5942" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Mesorhizobium"
"5943" "ESV5943" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" "Devosia"
"5944" "ESV5944" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" NA
"5945" "ESV5945" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium"
"5946" "ESV5946" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"5947" "ESV5947" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Kribbella"
"5948" "ESV5948" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillales_Incertae_Sedis" "Reyranella"
"5949" "ESV5949" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5950" "ESV5950" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"5951" "ESV5951" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Variibacter"
"5952" "ESV5952" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"5953" "ESV5953" "Bacteria" "Acidobacteria" "Solibacteres" "Solibacterales" "Solibacteraceae_(Subgroup_3)" "Candidatus_Solibacter"
"5954" "ESV5954" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Elev-16S-1332" NA
"5955" "ESV5955" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Frankiaceae" "Jatrophihabitans"
"5956" "ESV5956" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"5957" "ESV5957" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"5958" "ESV5958" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" "Acidibacter"
"5959" "ESV5959" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"5960" "ESV5960" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Methylibium"
"5961" "ESV5961" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5962" "ESV5962" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "Nitrospiraceae" "Nitrospira"
"5963" "ESV5963" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "JG34-KF-361" NA
"5964" "ESV5964" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus"
"5965" "ESV5965" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Ramlibacter"
"5966" "ESV5966" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Noviherbaspirillum"
"5967" "ESV5967" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5968" "ESV5968" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" NA
"5969" "ESV5969" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Archangiaceae" "Cystobacter"
"5970" "ESV5970" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"5971" "ESV5971" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_10" "ABS-19" NA
"5972" "ESV5972" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5973" "ESV5973" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Noviherbaspirillum"
"5974" "ESV5974" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Burkholderia-Paraburkholderia"
"5975" "ESV5975" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"5976" "ESV5976" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"5977" "ESV5977" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" NA
"5978" "ESV5978" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"5979" "ESV5979" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"5980" "ESV5980" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" NA
"5981" "ESV5981" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Microvirga"
"5982" "ESV5982" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" NA
"5983" "ESV5983" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" "Leptolyngbya"
"5984" "ESV5984" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_10" "ABS-19" NA
"5985" "ESV5985" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Rhizocola"
"5986" "ESV5986" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillales_Incertae_Sedis" "Reyranella"
"5987" "ESV5987" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_10" "ABS-19" NA
"5988" "ESV5988" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Polyangiaceae" "Aetherobacter"
"5989" "ESV5989" "Bacteria" "Acidobacteria" "Solibacteres" "Solibacterales" "Solibacteraceae_(Subgroup_3)" "Bryobacter"
"5990" "ESV5990" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5991" "ESV5991" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Virgisporangium"
"5992" "ESV5992" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"5993" "ESV5993" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"5994" "ESV5994" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "0319-6A21" NA
"5995" "ESV5995" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Gsoil-1167" NA
"5996" "ESV5996" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"5997" "ESV5997" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonas"
"5998" "ESV5998" "Bacteria" "Proteobacteria" "Betaproteobacteria" "SC-I-84" NA NA
"5999" "ESV5999" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"6000" "ESV6000" "Bacteria" "Nitrospirae" "Nitrospira" "Nitrospirales" "0319-6A21" NA
"6001" "ESV6001" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Saprospiraceae" NA
"6002" "ESV6002" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillales_Incertae_Sedis" "Reyranella"
"6003" "ESV6003" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus"
"6004" "ESV6004" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus"
"6005" "ESV6005" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus"
"6006" "ESV6006" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_10" "ABS-19" NA
"6007" "ESV6007" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Microvirga"
"6008" "ESV6008" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Haliangiaceae" "Haliangium"
"6009" "ESV6009" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" "Acidibacter"
"6010" "ESV6010" "Bacteria" "Acidobacteria" "Subgroup_17" NA NA NA
"6011" "ESV6011" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"6012" "ESV6012" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"6013" "ESV6013" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Archangiaceae" "Cystobacter"
"6014" "ESV6014" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" NA NA
"6015" "ESV6015" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" NA
"6016" "ESV6016" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" NA
"6017" "ESV6017" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"6018" "ESV6018" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Frankiaceae" "Jatrophihabitans"
"6019" "ESV6019" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"6020" "ESV6020" "Archaea" "Thaumarchaeota" "Soil_Crenarchaeotic_Group(SCG)" NA NA NA
"6021" "ESV6021" "Bacteria" "Chloroflexi" "TK10" NA NA NA
"6022" "ESV6022" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Frankiaceae" "Jatrophihabitans"
"6023" "ESV6023" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"6024" "ESV6024" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Isosphaera"
"6025" "ESV6025" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" NA
"6026" "ESV6026" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"6027" "ESV6027" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Actinoplanes"
"6028" "ESV6028" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Haliangiaceae" "Haliangium"
"6029" "ESV6029" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Iamiaceae" "Iamia"
"6030" "ESV6030" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Singulisphaera"
"6031" "ESV6031" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_10" "ABS-19" NA
"6032" "ESV6032" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"6033" "ESV6033" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"6034" "ESV6034" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"6035" "ESV6035" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"6036" "ESV6036" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Luedemannella"
"6037" "ESV6037" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"6038" "ESV6038" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"6039" "ESV6039" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA
"6040" "ESV6040" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Haliangiaceae" "Haliangium"
"6041" "ESV6041" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Nitrosomonadaceae" NA
"6042" "ESV6042" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonas"
"6043" "ESV6043" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Ramlibacter"
"6044" "ESV6044" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" NA
"6045" "ESV6045" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" NA NA
"6046" "ESV6046" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" NA
"6047" "ESV6047" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"6048" "ESV6048" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_7" NA NA
"6049" "ESV6049" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales_Incertae_Sedis" "Acidibacter"
"6050" "ESV6050" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Gsoil-1167" NA
"6051" "ESV6051" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Haliangiaceae" "Haliangium"
"6052" "ESV6052" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" NA
"6053" "ESV6053" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "DA101_soil_group" NA
"6054" "ESV6054" "Bacteria" "Actinobacteria" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" "Pseudonocardia"
"6055" "ESV6055" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" NA
"6056" "ESV6056" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA
"6057" "ESV6057" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfurellales" "Desulfurellaceae" "H16"
"6058" "ESV6058" "Bacteria" "Actinobacteria" "Actinobacteria" "Kineosporiales" "Kineosporiaceae" "Kineosporia"
"6059" "ESV6059" "Bacteria" "Acidobacteria" "Holophagae" "Subgroup_10" "ABS-19" NA
"6060" "ESV6060" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionIII" "FamilyI" NA
"6061" "ESV6061" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Haliangiaceae" "Haliangium"
"6062" "ESV6062" "Bacteria" "Acidobacteria" "Blastocatellia" "Blastocatellales" "Blastocatellaceae_(Subgroup_4)" "RB41"
"6063" "ESV6063" "Bacteria" "Chloroflexi" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" NA
"6064" "ESV6064" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"6065" "ESV6065" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Myxococcaceae" "Corallococcus"
